MSZoning,LotArea,OverallCond,YearBuilt,BedroomAbvGr,KitchenQual,GarageCars,PoolQC,SalePrice,N_Bath
Residencial Densidad Media,1000-5000,6,1975-1979,2,Regular,2,Regular,124000,2
Residencial Densidad Media,1000-5000,4,1965-1969,1,Regular,1,Regular,80000,1
Residencial Densidad Media,1000-5000,6,1970-1974,1,Regular,0,Regular,75500,1
Residencial Densidad Media,1000-5000,8,1965-1969,1,Bueno,1,Bueno,86000,1
Residencial Densidad Media,1000-5000,7,1965-1969,1,Excelente,0,Excelente,92000,1
Residencial Densidad Media,1000-5000,6,1965-1969,3,Regular,0,Regular,97000,2
Residencial Densidad Media,1000-5000,5,1970-1974,2,Regular,1,Regular,91000,1
Residencial Densidad Media,1000-5000,5,1970-1974,2,Regular,1,Regular,100000,2
Residencial Densidad Media,1000-5000,7,1970-1974,3,Regular,1,Regular,119500,3
Residencial Densidad Media,1000-5000,7,1970-1974,3,Regular,1,Regular,118000,2
Residencial Densidad Media,1000-5000,8,1970-1974,2,Bueno,1,Bueno,118000,2
Residencial Densidad Media,1000-5000,5,1970-1974,2,Regular,1,Regular,94500,2
Residencial Densidad Media,1000-5000,5,1970-1974,2,Regular,1,Regular,85400,2
Residencial Densidad Media,1000-5000,3,1970-1974,2,Regular,1,Regular,89500,2
Residencial Densidad Media,1000-5000,5,1970-1974,3,Regular,1,Regular,112000,3
Residencial Densidad Media,1000-5000,5,1970-1974,3,Regular,1,Regular,88000,2
Residencial Densidad Media,1000-5000,5,1970-1974,3,Regular,0,Regular,91500,2
Residencial Densidad Media,1000-5000,6,1965-1969,2,Regular,1,Regular,106000,2
Residencial Densidad Media,1000-5000,5,1970-1974,3,Regular,1,Regular,113000,2
Residencial Densidad Media,1000-5000,7,1970-1974,1,Regular,0,Regular,81000,1
Residencial Densidad Media,1000-5000,5,1970-1974,2,Regular,2,Regular,122500,2
Residencial Densidad Media,1000-5000,6,1965-1969,1,Regular,0,Regular,84500,1
Residencial Densidad Media,1000-5000,6,1975-1979,3,Regular,2,Regular,151000,3
Residencial Densidad Media,1000-5000,5,1970-1974,2,Regular,1,Regular,83000,2
Residencial Densidad Media,1000-5000,5,1970-1974,3,Regular,1,Regular,83500,2
Residencial Densidad Media,1000-5000,5,1965-1969,3,Regular,1,Regular,75000,2
Residencial Densidad Media,1000-5000,5,1965-1969,3,Regular,2,Regular,106000,3
Residencial Pueblo Flotante,1000-5000,5,1995-1999,2,Bueno,2,Bueno,168500,3
Residencial Pueblo Flotante,1000-5000,5,1995-1999,3,Bueno,2,Bueno,177000,3
Residencial Pueblo Flotante,1000-5000,5,1995-1999,3,Bueno,2,Bueno,177500,3
Residencial Pueblo Flotante,1000-5000,5,1995-1999,2,Bueno,2,Bueno,160000,3
Residencial Densidad Media,1000-5000,4,1965-1969,3,Regular,1,Regular,88000,2
Residencial Baja Densidad,1000-5000,5,2000-2004,2,Bueno,2,Bueno,173000,2
Residencial Pueblo Flotante,1000-5000,5,1995-1999,3,Regular,2,Regular,179400,3
Residencial Baja Densidad,1000-5000,6,1975-1979,3,Regular,2,Regular,148500,3
Residencial Baja Densidad,1000-5000,5,1975-1979,3,Regular,2,Regular,146000,3
Residencial Baja Densidad,1000-5000,6,1975-1979,3,Regular,2,Regular,148500,3
Residencial Baja Densidad,1000-5000,6,1975-1979,3,Bueno,2,Bueno,155000,3
Residencial Baja Densidad,1000-5000,5,1970-1974,3,Regular,2,Regular,147000,3
Residencial Densidad Media,1000-5000,6,1965-1969,3,Regular,2,Regular,125000,2
Residencial Baja Densidad,1000-5000,5,2000-2004,2,Bueno,2,Bueno,154000,3
Residencial Densidad Media,1000-5000,8,1910-1914,4,Excelente,1,Excelente,155000,2
Residencial Densidad Media,1000-5000,5,2000-2004,3,Bueno,2,Bueno,137500,2
Residencial Densidad Media,1000-5000,5,2000-2004,3,Bueno,2,Bueno,130000,2
Residencial Densidad Media,1000-5000,5,2000-2004,3,Bueno,2,Bueno,130000,2
Residencial Pueblo Flotante,1000-5000,5,2000-2004,2,Bueno,2,Bueno,147400,3
Residencial Pueblo Flotante,1000-5000,5,1995-1999,3,Bueno,2,Bueno,155000,3
Residencial Densidad Media,1000-5000,3,1975-1979,3,Regular,1,Regular,85000,2
Residencial Baja Densidad,1000-5000,5,2000-2004,2,Bueno,2,Bueno,175500,3
Residencial Pueblo Flotante,1000-5000,5,1995-1999,2,Bueno,2,Bueno,174000,3
Residencial Pueblo Flotante,1000-5000,5,1995-1999,3,Bueno,2,Bueno,172500,3
Residencial Pueblo Flotante,1000-5000,5,1995-1999,3,Bueno,2,Bueno,165000,3
Residencial Densidad Media,1000-5000,6,1975-1979,4,Regular,1,Regular,127000,2
Residencial Densidad Media,1000-5000,6,1975-1979,3,Regular,1,Regular,115000,2
Residencial Baja Densidad,1000-5000,5,1995-1999,2,Bueno,2,Bueno,173000,1
Residencial Pueblo Flotante,1000-5000,5,2005-2009,2,Bueno,2,Bueno,173733,3
Residencial Baja Densidad,1000-5000,5,2000-2004,2,Bueno,2,Bueno,167240,2
Residencial Baja Densidad,1000-5000,5,2000-2004,2,Bueno,2,Bueno,213490,2
Residencial Densidad Media,1000-5000,5,2000-2004,2,Bueno,2,Bueno,178740,2
Residencial Baja Densidad,1000-5000,5,2000-2004,2,Bueno,2,Bueno,171750,2
Residencial Pueblo Flotante,1000-5000,5,2000-2004,2,Bueno,2,Bueno,144152,3
Residencial Pueblo Flotante,1000-5000,5,2000-2004,2,Bueno,2,Bueno,151000,3
Residencial Baja Densidad,1000-5000,5,2000-2004,2,Bueno,2,Bueno,192500,2
Residencial Pueblo Flotante,1000-5000,5,2000-2004,2,Bueno,2,Bueno,151000,3
Residencial Baja Densidad,1000-5000,5,2000-2004,2,Bueno,2,Bueno,191000,2
Residencial Baja Densidad,1000-5000,5,2000-2004,2,Bueno,2,Bueno,192000,2
Residencial Baja Densidad,1000-5000,5,2000-2004,1,Bueno,2,Bueno,181000,2
Residencial Baja Densidad,1000-5000,5,2000-2004,2,Bueno,2,Bueno,160200,2
Residencial Baja Densidad,1000-5000,5,2005-2009,2,Bueno,2,Bueno,159895,2
Residencial Baja Densidad,1000-5000,5,2000-2004,2,Bueno,2,Bueno,215000,2
Residencial Baja Densidad,1000-5000,5,2000-2004,2,Bueno,2,Bueno,234000,2
Residencial Pueblo Flotante,1000-5000,5,1995-1999,3,Regular,2,Regular,172500,3
Residencial Pueblo Flotante,1000-5000,5,1995-1999,2,Regular,2,Regular,176000,3
Residencial Pueblo Flotante,1000-5000,5,2000-2004,1,Bueno,2,Bueno,197000,2
Residencial Densidad Media,1000-5000,5,2000-2004,3,Bueno,2,Bueno,130000,2
Residencial Densidad Media,1000-5000,8,1945-1949,3,Regular,1,Regular,135000,2
Residencial Densidad Media,1000-5000,7,1945-1949,2,Regular,1,Regular,110000,2
Residencial Densidad Media,1000-5000,7,1905-1909,3,Regular,1,Regular,114504,1
Residencial Pueblo Flotante,1000-5000,5,2005-2009,2,Bueno,2,Bueno,146000,2
Residencial Baja Densidad,1000-5000,5,2005-2009,1,Bueno,3,Bueno,175900,2
Residencial Densidad Media,1000-5000,4,1920-1924,2,Regular,0,Regular,55000,1
Residencial Densidad Media,1000-5000,5,2000-2004,2,Regular,2,Regular,140000,2
Residencial Densidad Media,1000-5000,5,2000-2004,2,Regular,2,Regular,145000,1
Residencial Densidad Media,1000-5000,5,2000-2004,2,Regular,2,Regular,148000,1
Residencial Baja Densidad,1000-5000,5,2005-2009,2,Bueno,3,Bueno,174000,2
Residencial Baja Densidad,1000-5000,5,1985-1989,2,Bueno,2,Bueno,170000,2
Residencial Pueblo Flotante,1000-5000,5,1995-1999,3,Bueno,2,Bueno,183900,3
